Drug,Protein
DB02338,9606.ENSP00000403768
DB03575,9606.ENSP00000277010
DB01907,9606.ENSP00000354468
DB01125,9606.ENSP00000233838
DB01073,9606.ENSP00000368358
DB04566,9606.ENSP00000321584
DB00811,9606.ENSP00000321584
DB01942,9606.ENSP00000216117
DB06914,9606.ENSP00000216117
DB00661,9606.ENSP00000382342
DB00928,9606.ENSP00000352516
DB01035,9606.ENSP00000352516
DB00626,9606.ENSP00000265986
DB04315,9606.ENSP00000400175
DB03415,9606.ENSP00000359871
DB02105,9606.ENSP00000354511
DB00174,9606.ENSP00000281038
DB03461,9606.ENSP00000419970
DB02546,9606.ENSP00000430432
DB04297,9606.ENSP00000430432
DB02431,9606.ENSP00000424571
DB01907,9606.ENSP00000476228
DB02059,9606.ENSP00000476228
DB02701,9606.ENSP00000476228
DB04786,9606.ENSP00000476228
DB00630,9606.ENSP00000273398
DB06734,9606.ENSP00000273398
DB01919,9606.ENSP00000309591
DB01940,9606.ENSP00000309591
DB04530,9606.ENSP00000309591
DB07854,9606.ENSP00000309591
DB07856,9606.ENSP00000309591
DB07857,9606.ENSP00000309591
DB07860,9606.ENSP00000309591
DB07876,9606.ENSP00000309591
DB08149,9606.ENSP00000309591
DB01268,9606.ENSP00000263377
DB01268,9606.ENSP00000411397
